participant,consistency,matching,key_resp_3.corr,key_resp_3.rt,stage
fp02,i,mismatch,1,0.4274392,baseline
fp02,i,mismatch,1,0.3077629,baseline
fp02,i,mismatch,1,0.5333642,baseline
fp02,i,mismatch,1,0.4010062,baseline
fp02,i,mismatch,1,0.3882386,baseline
fp02,i,mismatch,1,0.3297071,baseline
fp02,i,mismatch,1,0.5803508,baseline
fp02,i,mismatch,1,0.3646414,baseline
fp02,i,mismatch,1,0.4161756,baseline
fp02,i,mismatch,1,0.5311224,baseline
fp02,i,mismatch,1,0.458011,baseline
fp02,i,mismatch,1,0.517859,baseline
fp02,i,mismatch,1,0.4513443,baseline
fp02,i,mismatch,1,0.6253389,baseline
fp02,i,mismatch,1,0.3410263,baseline
fp02,i,mismatch,1,0.4000829,baseline
fp02,i,mismatch,1,0.3908076,baseline
fp02,i,mismatch,1,0.4129036,baseline
fp02,i,mismatch,1,0.2950949,baseline
fp02,i,mismatch,1,0.4236068,baseline
fp02,i,mismatch,1,0.5799492,baseline
fp02,i,mismatch,1,0.4318737,baseline
fp02,i,mismatch,1,0.4621994,baseline
fp03,c,match,1,0.5854106,adapt
fp03,c,match,1,0.4490829,adapt
fp03,c,match,1,0.3747765,adapt
fp03,c,match,1,0.5118502,adapt
fp03,c,match,1,0.4767346,adapt
fp03,c,match,1,0.5071484,adapt
fp03,c,match,1,0.5456914,adapt
fp03,c,match,1,0.5644504,adapt
fp03,c,match,1,0.5415489,adapt
fp03,c,match,1,0.4125464,adapt
fp03,c,match,1,0.5196961,adapt
fp03,c,match,1,0.4058335,adapt
fp03,c,match,0,0.3257748,adapt
fp03,c,match,1,0.3517643,adapt
fp03,c,match,1,0.4107912,adapt
fp03,c,match,1,0.3954651,adapt
fp03,c,match,1,0.4872698,adapt
fp03,c,match,1,0.4011885,adapt
fp03,c,match,1,0.3884827,adapt
fp03,c,match,1,0.4220297,adapt
fp03,c,match,1,0.5296361,adapt
fp03,c,match,1,0.6176483,adapt
fp03,c,match,1,0.4717594,adapt
fp03,c,match,1,0.4270575,adapt
fp03,c,match,1,1.332862222,baseline
fp03,c,match,1,1.207987579,baseline
fp03,c,match,1,0.875076507,baseline
fp03,c,match,1,0.852584776,baseline
fp03,c,match,1,1.515829554,baseline
fp03,c,match,1,0.796439649,baseline
fp03,c,match,1,0.682765184,baseline
fp03,c,match,1,0.721299567,baseline
fp03,c,match,1,0.945082624,baseline
fp03,c,match,1,0.91995047,baseline
fp03,c,match,1,1.008908876,baseline
fp03,c,match,1,0.701446748,baseline
fp03,c,mismatch,1,0.4616338,adapt
fp03,c,mismatch,1,0.4394225,adapt
fp03,c,mismatch,1,0.5349771,adapt
fp03,c,mismatch,1,0.5484404,adapt
fp03,c,mismatch,1,0.3413878,adapt
fp03,c,mismatch,1,0.3557439,adapt
fp03,c,mismatch,1,0.5246359,adapt
fp03,c,mismatch,1,0.3252342,adapt
fp03,c,mismatch,1,0.5559843,adapt
fp03,c,mismatch,1,0.4707522,adapt
fp03,c,mismatch,1,0.480305,adapt
fp03,c,mismatch,1,0.3410335,adapt
fp03,c,mismatch,1,0.4065902,adapt
fp03,c,mismatch,1,0.3962097,adapt
fp03,c,mismatch,1,0.4685321,adapt
fp03,c,mismatch,1,0.3992326,adapt
fp03,c,mismatch,1,0.4430603,adapt
fp03,c,mismatch,1,0.429649,adapt
fp03,c,mismatch,1,0.5440438,adapt
fp03,c,mismatch,1,0.8684947,adapt
fp03,c,mismatch,1,0.582639,adapt
fp03,c,mismatch,0,0.5376859,adapt
fp03,c,mismatch,1,0.3629207,adapt
fp03,c,mismatch,1,0.5462949,adapt
fp03,c,mismatch,1,1.098449889,baseline
fp03,c,mismatch,1,0.811051647,baseline
fp03,c,mismatch,1,1.931504442,baseline
fp03,c,mismatch,1,1.199393463,baseline
fp03,c,mismatch,1,1.616030049,baseline
fp03,c,mismatch,1,1.148951694,baseline
fp03,c,mismatch,1,0.565064575,baseline
fp03,c,mismatch,1,1.118852088,baseline
fp03,c,mismatch,1,1.284947223,baseline
fp03,c,mismatch,1,0.942136739,baseline
fp03,c,mismatch,1,0.517607959,baseline
fp03,c,mismatch,1,1.198719859,baseline
fp03,filler,match,1,0.4684334,adapt
fp03,filler,match,1,0.5093269,adapt
fp03,filler,match,1,0.532487,adapt
fp03,filler,match,1,0.4507858,adapt
fp03,filler,match,0,1.625126725,baseline
fp03,filler,match,1,1.836446596,baseline
fp03,filler,mismatch,1,0.7346303,adapt
fp03,filler,mismatch,1,0.4884853,adapt
fp03,filler,mismatch,1,0.494833,adapt
fp03,filler,mismatch,1,0.3475563,adapt
fp03,filler,mismatch,1,1.172029808,baseline
fp03,filler,mismatch,1,0.899008331,baseline
fp03,i,match,1,0.4352285,adapt
fp03,i,match,1,0.4336389,adapt
fp03,i,match,1,0.4873964,adapt
fp03,i,match,1,0.4733645,adapt
fp03,i,match,1,0.6468232,adapt
fp03,i,match,1,0.6515532,adapt
fp03,i,match,1,0.4492253,adapt
fp03,i,match,1,0.5135024,adapt
fp03,i,match,0,0.5307484,adapt
fp03,i,match,0,0.5123824,adapt
fp03,i,match,1,0.4994275,adapt
fp03,i,match,1,0.51374,adapt
fp03,i,match,1,0.4949461,adapt
fp03,i,match,1,0.5485997,adapt
fp03,i,match,1,0.4662068,adapt
fp03,i,match,1,0.3303792,adapt
fp03,i,match,1,0.4255939,adapt
fp03,i,match,1,0.4515103,adapt
fp03,i,match,1,0.6627262,adapt
fp03,i,match,1,0.4165161,adapt
fp03,i,match,1,0.4022772,adapt
fp03,i,match,1,0.4964638,adapt
fp03,i,match,1,0.5489622,adapt
fp03,i,match,1,0.4435173,adapt
fp03,i,match,1,1.191315123,baseline
fp03,i,match,1,0.961042207,baseline
fp03,i,match,0,1.695848358,baseline
fp03,i,match,0,1.237270478,baseline
fp03,i,match,1,1.771257655,baseline
fp03,i,match,1,1.103834191,baseline
fp03,i,match,1,1.234628545,baseline
fp03,i,match,1,1.499615481,baseline
fp03,i,match,1,1.504841576,baseline
fp03,i,match,1,0.915126121,baseline
fp03,i,match,0,0.668532277,baseline
fp03,i,match,1,1.114435148,baseline
fp03,i,mismatch,1,0.4244059,adapt
fp03,i,mismatch,1,0.5025906,adapt
fp03,i,mismatch,1,0.4348398,adapt
fp03,i,mismatch,1,0.3156031,adapt
fp03,i,mismatch,1,0.4232582,adapt
fp03,i,mismatch,1,0.5190721,adapt
fp03,i,mismatch,1,0.4886801,adapt
fp03,i,mismatch,1,0.406118,adapt
fp03,i,mismatch,1,0.5189604,adapt
fp03,i,mismatch,1,0.4018991,adapt
fp03,i,mismatch,1,0.3910402,adapt
fp03,i,mismatch,1,0.4582889,adapt
fp03,i,mismatch,1,0.4707691,adapt
fp03,i,mismatch,1,0.4880435,adapt
fp03,i,mismatch,1,0.523076,adapt
fp03,i,mismatch,1,0.5887777,adapt
fp03,i,mismatch,1,0.439529,adapt
fp03,i,mismatch,1,0.4466183,adapt
fp03,i,mismatch,1,0.4535624,adapt
fp03,i,mismatch,1,0.4286838,adapt
fp03,i,mismatch,1,0.4592067,adapt
fp03,i,mismatch,1,0.4991969,adapt
