"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"fp12","50","i","mismatch",1,1.1188281,"adapt"
"fp12","51","c","mismatch",1,0.4650402,"adapt"
"fp12","52","filler","mismatch",1,0.3800684,"adapt"
"fp12","53","c","match",1,0.3722521,"adapt"
"fp12","54","c","match",1,0.3603168,"adapt"
"fp12","55","i","mismatch",1,0.409377,"adapt"
"fp12","56","i","mismatch",1,0.4382029,"adapt"
"fp12","57","i","match",1,0.7207168,"adapt"
"fp12","58","c","match",1,0.3253697,"adapt"
"fp12","59","i","match",1,0.3448796,"adapt"
"fp12","60","i","match",1,0.3399948,"adapt"
"fp12","61","filler","mismatch",1,0.3587482,"adapt"
"fp12","62","c","match",1,0.3392258,"adapt"
"fp12","63","i","match",1,0.3504031,"adapt"
"fp12","64","i","mismatch",1,0.5804035,"adapt"
"fp12","65","filler","match",1,0.4725612,"adapt"
"fp12","66","i","match",1,0.444163,"adapt"
"fp12","67","c","match",1,0.5063494,"adapt"
"fp12","68","c","match",0,0.3117623,"adapt"
"fp12","69","i","match",1,0.4038037,"adapt"
"fp12","70","i","mismatch",1,0.3451808,"adapt"
"fp12","71","c","match",1,0.2928794,"adapt"
"fp12","72","c","mismatch",1,0.3288567,"adapt"
"fp12","73","i","mismatch",0,0.6108046,"adapt"
"fp12","74","i","mismatch",1,0.4880792,"adapt"
"fp12","75","i","match",1,0.482977,"adapt"
"fp12","76","c","mismatch",1,0.3781515,"adapt"
"fp12","77","c","mismatch",1,0.5158283,"adapt"
"fp12","78","filler","match",1,0.3448931,"adapt"
"fp12","79","i","match",1,0.4120406,"adapt"
"fp12","80","i","mismatch",1,0.6532002,"adapt"
"fp12","81","i","mismatch",1,0.402159,"adapt"
"fp12","82","c","mismatch",0,0.4195284,"adapt"
"fp12","83","c","mismatch",1,0.3787343,"adapt"
"fp12","84","i","match",1,0.3613414,"adapt"
"fp12","85","c","mismatch",1,0.4644303,"adapt"
"fp12","86","c","match",1,0.5386454,"adapt"
"fp12","87","i","mismatch",1,0.3305057,"adapt"
